City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,roma,43.2128,-75.4557,290.2,61,40,4.12,US,1728675285
212,uturoa,-16.7333,-151.4333,298.81,74,0,6.44,PF,1728675301
213,bandarbeyla,9.4942,50.8122,299.13,84,62,4.84,SO,1728675303
214,isangel,-19.55,169.2667,296.29,75,48,6.0,VU,1728675304
215,katabu,-4.9333,122.5167,297.34,96,54,1.58,ID,1728675305
216,bikenibeu village,1.3673,173.1241,301.13,78,20,3.6,KI,1728675307
217,kenitra,34.261,-6.5802,295.57,93,0,3.62,MA,1728675309
218,lebu,-37.6167,-73.65,285.24,74,100,4.31,CL,1728675310
219,aguilares,-27.4338,-65.6143,301.58,34,0,2.13,AR,1728675141
220,cabo san lucas,22.8909,-109.9124,304.68,72,0,5.14,MX,1728675313
221,sao joao da barra,-21.6403,-41.0511,297.2,90,90,11.37,BR,1728675315
222,tara,56.8944,74.371,269.87,74,70,6.27,RU,1728675316
223,ilhabela,-23.7781,-45.3581,295.1,97,100,4.77,BR,1728675317
224,el dorado,38.7666,-120.5177,299.18,27,27,1.34,US,1728675143
225,newman,37.3138,-121.0208,303.8,16,5,0.84,US,1728675320
226,san patricio,28.017,-97.5169,304.12,34,0,5.4,US,1728675322
227,uvalde,29.3669,-99.767,306.71,28,0,2.57,US,1728675315
228,udachny,66.4167,112.4,262.78,95,100,3.13,RU,1728675326
229,along,28.1667,94.7667,290.94,98,100,0.48,IN,1728675327
230,puerto ayacucho,5.6639,-67.6236,304.01,65,100,2.72,VE,1728675058
231,santiago juxtlahuaca,17.3333,-98.0167,296.38,32,1,2.89,MX,1728675330
232,toliara,-23.35,43.6667,296.61,78,45,0.12,MG,1728675332
233,pointe aux piments,-20.0628,57.5131,295.66,77,70,9.07,MU,1728675333
234,thinadhoo,0.5333,72.9333,301.39,74,100,6.72,MV,1728675335
235,bozoum,6.3193,16.3799,294.72,94,46,0.23,CF,1728675336
236,la'ie,21.6477,-157.9253,300.4,80,97,2.68,US,1728675338
237,st. john's,47.5649,-52.7093,284.42,85,40,7.2,CA,1728675340
238,carutapera,-1.195,-46.02,301.25,67,79,4.16,BR,1728675341
